0,1,2,3,4,5,6,7,8,9
Topic 1,area,moderate_cardiomegaly,support_device,persist,large_pleural_effusion,pulmonary_edema,overt_pulmonary_edema,pneumonia,mild_fluid_overload,atelectasis
Topic 2,pneumonia,atelectasis,focal_consolidation,leave_low_lobe,convincing,mild_left_basal,leave_basilar_opacity,edema,hiatal_hernia,overt
Topic 3,effusion,cardiac_silhouette,opacification,enlargement,basis,pulmonary_venous_pressure,continue_enlargement,support_device,elevation,hemidiaphragm
Topic 4,small_bilateral_pleural_effusion,mild_pulmonary_edema,atelectasis,left_pleural_effusion,overlying_atelectasis_underlie_consolidation,et_tube,pulmonary_vascular_congestion,result,streaky,appearance
Topic 5,bilateral_pleural_effusion,increase,atelectasis,small_bilateral_effusion,worsen,moderate_pulmonary_edema,bronchovascular,pulmonary_edema,prominence,size
Topic 6,tube,stomach,line,standard,placement,contour,mediastinum,evident_pneumothorax,tracheostomy,effusion
Topic 7,pleural_effusion,pneumothorax,minimal_retrocardiac_atelectasis,pneumomediastinum,atelectasis,low_lobe,volume,loss,cardiomediastinal_silhouette,chest
Topic 8,leave_pleural_effusion,improvement,left_lung_base,atelectasis,persistent,bibasal,pulmonary_edema,worrisome,pneumothorax,air
Topic 9,leave_basilar_atelectasis,small_left_pleural_effusion,acute_cardiopulmonary_process,resolution,removal,disease,chest_tube,interstitial_pulmonary_edema,exam,emphysema
Topic 10,mild,cardiomegaly,interstitial_edema,atelectasis,associate,elevate,pulmonary_vascular_congestion,edema,bowel,ett
Topic 11,pulmonary_vascular_congestion,mild_vascular_congestion,bibasilar,terminate,fracture,atelectasis,trace_leave_pleural_effusion,left_sided_pleural_effusion,body,large_hiatal_hernia
Topic 12,lung_basis,scar,congestive_heart_failure,end,atelectasis,development,enlarge,lung,aorta,moderate
Topic 13,lung,abnormality,region,retrocardiac,aeration,trace,atelectasis,intrathoracic,hyperinflation,hypertension
Topic 14,mild_bibasilar_atelectasis,rib_fracture,diaphragm,series,free_air,displace,focal_consolidation,pneumonia,rib,beneath
Topic 15,opacity,aspiration,patchy,increase,correlation,atelectasis,platelike,device,severity,pneumoperitoneum
Topic 16,exclude,infection,consolidation,trace_bilateral_pleural_effusion,opacity_potentially_atelectasis,clinical_setting,time,widen,confluent,subjacent
Topic 17,left_low_lobe,infiltrate,prior,congestion,resolve,atelectasis,drain,today,scoliosis,convince
Topic 18,small_pleural_effusion,base,acute,vascular_congestion,process,accentuate,lead,replacement,diameter,valve
Topic 19,decrease,size,collapse,minimal_bibasilar_atelectasis,relevant,left_basal_atelectasis,left_pleural_effusion,shift,upper_lobe,thoracentesis
Topic 20,low_lung_volume,definite,left_hemidiaphragm,elevation,bibasilar_subsegmental_atelectasis,low_lobe_atelectasis,low_lobe_collapse,setting,atelectasis,coil
