0,1,2,3,4,5,6,7,8,9
Topic 1,edema,pneumonia,cardiomegaly,pleural_effusion,elongation,descending_aorta,improvement,pulmonary_edema_moderate,situ,bilateral_pleural_effusion
Topic 2,retrocardiac_atelectasis,overt_pulmonary_edema,mild_fluid_overload,large_pleural_effusion,support_device,severity,moderate_cardiomegaly_persist,extent,decrease,persist
Topic 3,lung,abnormality,stomach,end,chest,pneumothorax,heart_size,contour,appreciable_pleural_effusion,svc
Topic 4,enlargement,cardiac_silhouette,basis,compressive_atelectasis,bilateral_pleural_effusion,basilar_atelectasis,substantial_enlargement,pericardial_effusion,continue_enlargement,definite_acute_focal_pneumonia
Topic 5,pulmonary_vascular_congestion,mild_interstitial_edema,cardiomegaly,enlarge_cardiac_silhouette,trace,exclude,accompany,bilateral_pleural_effusion,infection,small_bilateral_pleural_effusion
Topic 6,opacification,elevation,pulmonary_venous_pressure,acute_focal_pneumonia,vascular_congestion_pleural_effusion,vessel,volume_loss,cardiac_silhouette,left_base,cardiac_silhouette_remain
Topic 7,mild_pulmonary_edema,acute_cardiopulmonary_process,cardiomegaly,small_bilateral_pleural_effusion,moderate,acute_cardiopulmonary_disease,prior,injury,heal,aicd
Topic 8,appearance,descending_aorta,elongation,sternal_wire,alignment,pneumothorax,pulmonary_vascular_engorgement,lung_parenchyma,project,complication
Topic 9,mild,interstitial_pulmonary_edema,cardiomegaly,development,congestive_heart_failure,aspiration,body,correlate,hypoinflate,low_lobe_atelectasis
Topic 10,mild_vascular_congestion,leave_low_lobe,opacity,silhouette,atelectasis,mediastinum,failure,cabg,cardiomegaly,persistent
Topic 11,acute,heart,infiltrate,accentuate,sternotomy,possibility,calcification,raise,mildly_enlarge,transverse_diameter
Topic 12,vascular_congestion,size,borderline,air,cardiac_silhouette,pleural_effusion,pneumonia,edema,identify,decrease
Topic 13,increase,pacemaker,left_pleural_effusion,lead,pneumothorax,today,replacement,vascularity,correct,component
Topic 14,atelectasis,hiatal_hernia,consolidation,lung_basis,retrocardiac_opacity,pneumothorace,area,present,bibasal,compression
Topic 15,moderate_pulmonary_edema,heart_failure,small_bilateral_effusion,cardiomegaly,standard,terminate,line,mild,tube,support
Topic 16,bibasilar_atelectasis,stable_mild_cardiomegaly,exam,low_lung_volume,effusion,recommend,opacity,cardiomegaly,resolution,patchy
Topic 17,process,hilar_congestion,mark,cardiomegaly,lymph,mass,node,engorgement,vein,lobe
Topic 18,focal_consolidation,mildly_enlarge_cardiac_silhouette,definite,overt,rib,fracture,pneumonia,edema,displace,projection
Topic 19,stable_moderate_cardiomegaly,congestion,small_pleural_effusion,cardiac_decompensation,vasculature,heart_size,chronic,volume,overload,engorge
Topic 20,small_left_pleural_effusion,leave_basilar_atelectasis,swan,device,ganz,base,approximately_cm,prominence,aeration,intubate
Topic 21,acute_disease,emphysema,thoracic_aorta,tortuosity,diffuse,improvement,cardiomegaly,vascular_engorgement,background,age
