0,1,2,3,4,5,6,7,8,9
Topic 1,bilateral_pleural_effusion,bibasilar_atelectasis,congestive_heart_failure,interstitial_pulmonary_edema,pulmonary_edema,increase,overlying_atelectasis,cardiomegaly,severe_pulmonary_edema,enlarge
Topic 2,effusion,increase,collapse,pulmonary_edema,bibasilar_atelectasis,consolidation,atelectasis,difference,infiltrate,review
Topic 3,cardiac_silhouette,opacification,enlargement,basilar_atelectasis,compressive_atelectasis,basis,pulmonary_venous_pressure,elevation,support_device,volume_loss
Topic 4,left_pleural_effusion,end,svc,atelectasis,drainage,et_tube,standard_placement,pneumothorax,abnormality,increase
Topic 5,size,decrease,chest,relevant,effusion,leave_low_lobe,volume,increase,leave_pleural_effusion,pneumothorax
Topic 6,opacity,infection,exclude,atelectasis,mild_fluid_overload,overt_pulmonary_edema,effusion,patchy,aspiration,left_low_lobe
Topic 7,leave_pleural_effusion,improvement,lung,atelectasis,pneumothorax,present,pulmonary_edema,lung_volume,wire,presence
Topic 8,mediastinum,mild_bibasilar_atelectasis,bibasal,heart_size,bilateral_pleural_effusion,ng_tube,associate,cardiomediastinal_silhouette,progression,exam
Topic 9,extent,endotracheal_tube,heart,severity,project,air,moderate_cardiomegaly_persist,lead,bilateral_pleural_effusion,prominent
Topic 10,mild,moderate_pulmonary_edema,adjacent_atelectasis,cardiomegaly,congestion,mild_vascular_congestion,evident_pneumothorax,severe_cardiomegaly,standard,stable_small_bilateral_pleural_effusion
Topic 11,pneumonia,focal_consolidation,small_pleural_effusion,bilateral_pleural_effusion,development,edema,leave_low_lobe,picc_line,aspiration,bibasilar_atelectasis
Topic 12,appearance,chest_tube,leave_basilar_atelectasis,left_apical_pneumothorax,left_pleural_effusion,removal,pneumothorax,left_lung_base,persistent,aeration
Topic 13,small_bilateral_effusion,mild_interstitial_edema,persist,area,cardiomegaly,atelectasis,pulmonary_edema,pneumonia,bilateral_pleural_effusion,sided_pleural_effusion
Topic 14,pulmonary_vascular_congestion,bilateral_pleural_effusion,accompany,multifocal_pneumonia,prior,trace,cardiomegaly,moderate_pulmonary_edema_small_bilateral_pleural_effusion,body,mark
Topic 15,tube,line,retrocardiac_opacity,pigtail,fracture,rib,pneumothorace,dobbhoff,support,placement
Topic 16,resolution,recommend,followup,low_lobe_atelectasis,treatment,low_lobe_collapse,leave_low_lobe,prior_examination,hemithorax,shift
Topic 17,mild_pulmonary_edema,acute_cardiopulmonary_process,heart_failure,bilateral_pleural_effusion,cardiomegaly,small_bilateral_effusion,decompensate,small_pleural_effusion,trachea,pronounce
Topic 18,worsen,lung_basis,apical_pneumothorax,contour,extubate,hernia,left_pleural_effusion,disease,wall,obscure
